province,compose,simple
AUTRES,0.2062165520477412,0.7937834479522587
BANDUNDU,0.6269061385346485,0.3730938614653515
BAS-CONGO,0.09081330148566008,0.90918669851434
EQUATEUR,0.12423822403788959,0.8757617759621105
KASAI-OCCIDENTAL,0.2612655252892886,0.7387344747107114
KASAI-ORIENTAL,0.07622377139542966,0.9237762286045703
KATANGA,0.18062352012628255,0.8193764798737174
KINSHASA,0.07679244621346286,0.9232075537865372
MANIEMA,0.4611502742287561,0.5388497257712439
NORD-KIVU,0.11962561930536533,0.8803743806946347
ORIENTALE,0.16090483213325235,0.8390951678667476
SUD-KIVU,0.409646629226467,0.590353370773533
