letter,Male,Female
a,0.1726871198212362,0.1780007719968084
b,0.06275449167118631,0.05757115683434764
c,0.002527913112031784,0.002525362815502787
d,0.02639274743484273,0.025798130028588412
e,0.060460557268468315,0.05992111228866155
f,0.004168185425527368,0.005738163668905593
g,0.03710295718248242,0.035944081768606244
h,0.015744753594548896,0.016324638692088497
i,0.07320872667180656,0.07954877144283247
j,0.00442530712700423,0.004397881604276826
k,0.06012485644271973,0.05719911396875115
l,0.04930645065793003,0.04598845291218479
m,0.08281339976187696,0.08014229460267776
n,0.08138893330151427,0.08430430794896865
o,0.06920807306069308,0.06452478894803111
p,0.009832203366545821,0.009371006578405026
q,5.0822826402147366e-05,8.43622136063042e-05
r,0.009139850680293098,0.010064380634131025
s,0.032639239825093015,0.034139532349508485
t,0.0277669772899704,0.027953179679053274
u,0.06917254296038988,0.06619473621457156
v,0.0035449558612418576,0.006171217790567778
w,0.013512780220408454,0.014295070954872152
x,4.796818419701171e-05,1.6707334940670683e-05
y,0.020592394840652214,0.020809516372185803
z,0.01138579141093724,0.012971260356926069
