letter,Male,Female
a,0.10419923843992125,0.11230333493368445
b,0.018546448249013497,0.015225074098649389
c,0.041480767577953326,0.04405987823025858
d,0.03868872722439995,0.026961499859145175
e,0.13138825792008238,0.18038344738539613
f,0.010247500256025038,0.007027086508994281
g,0.0180527572420696,0.017807501663033867
h,0.031508761634381516,0.03697185263156448
i,0.09337919525658041,0.10271520299704247
j,0.026664242619993696,0.012183083323972286
k,0.012803255631156278,0.004848323140290566
l,0.0509726758057992,0.06672341587576307
m,0.03320386129622267,0.030360801411648666
n,0.07989188838489009,0.08206189166389144
o,0.057005660062330925,0.03761362219276409
p,0.021467218695097115,0.011531157247822707
q,0.0018784195453980996,0.001950967247682959
r,0.0734505638264324,0.06822482369855525
s,0.05242163399917173,0.0432875249054165
t,0.03949576796436023,0.04783038894946737
u,0.031398878017324786,0.020461941209356852
v,0.011932256018971252,0.013217596918162086
w,0.0020867055933035655,0.0015356192415710282
x,0.002258056881804058,0.0006618534967773684
y,0.013323645811687641,0.011759717016584062
z,0.002253616045629267,0.002292394152504883
